Class Type,Focus,Coach,Time,Date,Day of Week,Grey,Blue,Green,Orange,Red,Splat Points,Avg HR,Max HR,Total Calories,Distance,Avg  Speed,Max Speed,Avg  Pace,Elevation,Notes
2G,Endurance,Shania,6:45 PM,1/3/2019,Thursday,2,0,12,15,26,41,161,187,596,,,,,,Increase your base jogging base 4.6 pw base 3.5 @ 7% (note 38 extra calories added as I got recorded in the parking lot)
2G,Power,Mitch,12:00 PM,1/5/2019,Saturday,1,1,5,18,35,53,167,189,677,,,,,,
3G,Strength,Shania,9:45 AM,1/6/2019,Sunday,0,1,13,25,17,42,160,181,597,,,,,,
2G,Endurance,Gabriella,6:45 PM,1/17/2019,Thursday,2,4,17,22,16,38,156,180,604,,,,,,
3G,ESP,Shania,9:30 AM,1/20/2019,Sunday,1,1,13,30,12,42,159,184,590,,,,,,1000m Row + 100 Jumping Jaccks
2G,ESP,Gabriella,6:45 PM,1/24/2019,Thursday,1,2,23,23,9,32,153,187,575,,,,,,500M Benchmark Row 1.158
3G,Endurance,Shania,9:30 AM,1/27/2019,Sunday,1,1,19,23,14,37,158,179,601,,,,,,
2G,Endurance,Gabriella,6:45 PM,1/31/2019,Thursday,2,2,22,19,10,29,151,180,538,,,,,,
2G,ESP,Shania,5:30 PM,2/1/2019,Friday,2,2,15,19,19,38,157,185,580,,,,,,
3G,Power,Mitch,10:45 AM,2/2/2019,Saturday,3,5,20,27,3,30,148,171,526,,,,,,
3G,ESP,Mitch,9:30 AM,2/9/2019,Saturday,3,8,21,24,6,30,146,175,558,,,,,,
2G,ESP,Gabriella,6:45 PM,2/13/2019,Wednesday,2,2,17,22,14,36,155,180,557,,,,,,
2G,Power,Bri,6:45 PM,2/18/2019,Monday,1,1,22,29,4,33,151,178,557,,,,,,
2G,ESP,Gabriella,6:45 PM,2/21/2019,Thursday,1,3,24,21,8,29,150,180,555,,,,,,
3G,Strength,Mitch,9:30 AM,2/23/2019,Saturday,2,9,20,21,8,29,147,177,555,,,,,,
2G,Endurance,Gabriella,6:45 PM,2/28/2019,Thursday,1,6,10,21,20,41,157,205,597,,,,,,
3G,Power,Mitch,9:30 AM,3/2/2019,Saturday,3,4,17,25,13,38,152,181,604,,,,,,
2G,Endurance,Shania,6:45 PM,3/4/2019,Monday,7,14,20,10,6,16,136,177,449,,,,,,
2G,Strength,Gabriella,6:45 PM,3/7/2019,Thursday,0,2,18,20,17,37,156,180,579,,,,,,
2G,Endurance,Gabriella,6:45 PM,3/14/2019,Thursday,3,1,11,28,16,44,156,180,610,,,,,,
3G,Strength,Mitch,9:30 AM,3/23/2019,Saturday,1,3,26,19,10,29,151,178,576,,,,,,
2G,ESP,Shania,6:45 PM,3/25/2019,Monday,1,2,21,17,14,31,154,186,546,,,,,,2000M Benchmark Row - 08:22:04
2G,Endurance,Gabriella,6:45 PM,3/28/2019,Thursday,2,6,17,19,14,33,150,186,555,,,,,,
3G,Power,Bri,9:30 AM,3/30/2019,Saturday,2,2,23,24,8,32,151,183,567,,,,,,
2G,Endurance,Gabriella,6:45 PM,4/1/2019,Monday,2,5,24,15,11,26,148,180,535,,,,,,.97 miles
2G,Strength,Mitch,6:45 PM,4/4/2019,Thursday,7,14,14,6,17,23,141,179,497,,,,,,.65 miles
3G,ESP,Mitch,9:30 AM,4/6/2019,Saturday,1,2,10,30,18,48,158,182,646,,,,,,.78 Miles
3G,Power,Gabriella,5:30 PM,4/15/2019,Monday,3,1,12,24,19,43,157,181,615,,,,,,
2G,Endurance,Mitch,6:45 PM,4/25/2019,Thursday,1,2,17,23,15,38,155,179,584,,,,,,
3G,Power,Khai,8:15 AM,4/27/2019,Saturday,1,2,15,23,16,39,155,180,583,,,,,,
2G,Endurance,Gabriella,5:30 PM,4/29/2019,Monday,3,3,12,20,22,42,165,185,611,,,,,,
2G,Endurance,Shania,6:45 PM,5/3/2019,Friday,1,2,12,22,18,40,158,184,575,,,,,,
3G,ESP,Khai,8:15 AM,5/4/2019,Saturday,1,1,20,26,10,36,154,186,584,,,,,,
2G,Strength,Gabriella,6:45 PM,5/6/2019,Monday,3,8,29,17,0,17,141,171,498,,,,,,
2G,ESP,Gabriella,6:45 PM,5/8/2019,Wednesday,2,1,12,29,9,38,155,176,538,,,,,,
2G,ESP,Gabriella,6:45 PM,5/16/2019,Thursday,2,2,19,22,13,35,154,184,575,,,,,,
2G,Endurance,Bri,6:45 PM,5/20/2019,Monday,2,2,17,28,6,34,152,172,541,,,,,,MAYHEM
2G,Strength,Shania,6:45 PM,5/23/2019,Thursday,1,1,14,33,5,38,154,178,534,,,,,,MAYHEM
3G,Endurance,Bri,7:30 AM,5/27/2019,Monday,2,3,6,27,17,44,157,174,566,,,,,,
2G,Strength,Shania,6:45 PM,5/30/2019,Thursday,1,4,24,21,7,28,149,173,537,1.44,3.6,6.3,17:11:00,419.9,Shania taught class even though report says gabrielle
2G,Endurance,Shania,5:30 AM,5/31/2019,Friday,1,4,22,14,15,29,152,184,552,1.17,4.4,6,14:42:00,56,12 Minute Run for Distacnce .921
2G,ESP,Bri,6:45 PM,6/4/2019,Tuesday,1,3,22,21,4,25,149,179,475,0.03,2.9,3.4,23:47:00,5.6,Monitor went out during tread
2G,Strength,Mitch,6:45 PM,6/6/2019,Thursday,2,3,23,18,14,32,152,181,576,1.72,4.2,6.3,14:47:00,350.7,
2G,Strength,Gabriella,6:45 PM,6/10/2019,Monday,2,1,17,24,13,37,155,179,580,1.53,3.8,5.9,16:19:00,422.9,
2G,Strength,Mitch,5:30 AM,6/14/2019,Friday,1,4,21,29,2,31,150,170,536,-,-,-,-,-,My iPadwas picking up theinfo from the girl next to me
2G,Power,Gabriella,6:45 PM,6/17/2019,Monday,1,2,23,29,5,34,152,176,575,-,-,-,-,-,iPads were not working. 200M Benchmark Row 41:03
2G,ESP,Mitch,6:45 PM,6/20/2019,Thursday,1,4,24,23,8,31,151,180,577,0.61,3.1,3.5,18:54:00,197.3,Go  Row 4  minute row for distance 1002M
2G,Endurance,Mitch,6:45 PM,6/27/2019,Thursday,1,8,19,10,20,30,151,182,559,1.46,3.4,5.5,18:24:00,374.9,
2G,Strength,Shania,7:00 AM,6/30/2019,Sunday,1,1,18,24,11,35,155,202,552,1.89,4.3,5.7,14:33:00,336.2,
3G,Endurance,Gabriella,6:45 PM,7/1/2019,Monday,2,3,7,18,28,46,160,180,605,1.34,,,,,This was a 3 partner workout. I don?t think the app recorded my treadmill data acuratly
2G,Endurance,Bri,7:30 AM,7/5/2019,Friday,1,2,25,20,6,26,150,181,518,1.42,3.5,6.6,17:48:00,347,
2G,Power,Mitch,6:45 PM,7/11/2019,Thursday,1,1,11,24,20,44,159,181,604,1.82,4,6.7,16:16:00,261,
2G,Power,Gabriella,6:45 PM,7/15/2019,Monday,4,2,19,25,4,29,149,173,513,0.51,3.6,6,17:07:00,26.2,"This was sort of a partner but not really, it was called Tag"
2G,ESP,Gabriella,6:45 PM,7/22/2019,Monday,1,2,14,27,13,40,156,180,572,0.92,3.6,6.7,18:07:00,183.3,Gabriellas last :(
2G,Strength,Mitch,5:30 PM,7/26/2019,Friday,2,3,8,16,29,45,159,198,609,1.45,3.6,6.5,18:19:00,416,Specialty workout - Obstacle Course
2G,,Gabriella,6:45 PM,7/29/2019,Monday,2,4,15,23,13,36,152,188,560,1.59,3.8,7,16:37:00,327.8,
2G,ESP,Khai,7:00 AM,8/3/2019,Saturday,1,1,16,18,21,39,158,158,594,1.93,4.3,7,15:39:00,141,
2G,Power,Mitch,6:45 PM,8/5/2019,Monday,1,3,28,14,12,26,151,206,555,1.14,4,7,16:26:00,288.4,
2G,Power,Mitch,6:45 PM,8/12/2019,Monday,1,2,12,24,18,42,158,180,596,1.44,3.5,6.8,18:59:00,212.2,
2G,ESP,Shania,6:45 PM,8/15/2019,Thursday,1,3,14,20,18,38,157,186,567,1.8,4,7.1,16:13:00,328.4,
2G,Power,Mitch,6:45 PM,9/23/2019,Monday,2,1,16,27,10,37,155,179,555,1.61,3.6,6,17:23:00,348,First Day Back After a Freeze
2G,Endurance,Mitch,6:45 PM,10/3/2019,Thursday,1,1,16,17,19,36,157,192,552,0.65,3.4,5.8,18:10:00,164.3,
3G,Power,Mitch,8:15 AM,10/5/2019,Saturday,0,1,10,29,18,47,160,179,612,1.07,3.5,5.3,17:36:00,213.9,
2G,Endurance,Mitch,6:45 PM,10/7/2019,Thursday,2,4,15,22,15,37,154,183,569,1.68,3.8,6.5,17:02:00,229.7,
3G,Power,Khai,7:00 AM,10/12/2019,Saturday,2,2,6,29,7,36,152,180,547,0.9,3.5,6.5,18:39:00,211.4,National Burpee Day
2G,Endurance,Mitch,6:45 PM,10/14/2019,Monday,1,1,28,19,9,28,151,179,557,0.51,3.7,5.1,16:35:00,114.4,Crew Row - 23 Minutes of rowing
3G,Strength,Mitch,8:15 AM,10/19/2019,Saturday,0,3,18,23,14,37,155,180,587,0.96,3.6,6.9,18:07:00,194.5,
2G,ESP,Mitch,6:45 PM,10/21/2019,Monday,2,4,23,25,1,26,146,171,512,1,3.3,5.2,18:49:00,322.9,
3G,Endurance,Khai,8:15 AM,10/26/2019,Saturday,1,4,14,20,18,38,155,185,578,0.48,3,4,19:50:00,175.7,Parter Workout - Hell Weel
2G,Power,Shania,5:30 PM,11/1/2019,Friday,1,0,8,23,22,45,161,181,585,1.71,3.9,6.1,16:16:00,251.1,Scheduled as a 3G butran as a 2G
2G,ESP,Mitch,6:45 PM,11/4/2019,Monday,1,2,15,21,19,40,157,181,587,1.75,3.9,6,16:12:00,92.3,
2G,Endurance,Mitch,5:30 PM,11/7/2019,Thursday,1,2,18,21,15,36,155,184,577,0.94,3.5,4.6,18:12:00,139.8,2000 M Benchmark row - 08:31:5
2G,Strength,Shania,7:00 AM,11/10/2019,Sunday,1,7,29,17,2,19,144,177,507,1.41,3.4,6,18:17:00,409,
2G,Endurance,Mitch,6:45 PM,11/11/2019,Monday,1,3,17,22,15,37,154,180,579,1.06,3.9,4.6,15:19:00,120.2,
2G,Power,Shania,6:45 PM,11/13/2019,Wednesday,2,5,18,18,14,32,152,181,563,1.13,4,6,16:37:00,90.1,Tornado
3G,Endurance,Shania,5:30 PM,11/15/2019,Friday,2,2,18,22,14,36,154,179,570,1.17,3.8,4,15:51:00,247.1,Catch Me If You Can .89
2G,Strength,Mitch,6:45 PM,11/18/2019,Monday,3,5,21,22,7,29,149,177,544,1.45,3.8,6,16:39:00,194.3,
2G,Endurance,Shannon,6:45 PM,11/19/2019,Tuesday,1,9,19,23,5,28,146,189,523,1.64,3.5,5,17:11:00,337.6,
2G,Strength,Mitch,6:45 PM,12/16/2019,Monday,3,13,24,17,3,20,141,173,505,1.32,3.4,x,18:18:00,396.7,
3G,Power,Mitch,5:30 PM,12/23/2019,Monday,1,2,15,28,11,39,155,180,576,1.01,3.6,6.3,17:12:00,157.2,
3G,Power,Jaylissa,5:30 PM,12/27/2019,Friday,1,3,23,24,5,29,150,175,535,0.82,3.2,3.5,18:50:00,213.9,
3G,ESP,Mitch,5:30 PM,12/30/2019,Monday,4,2,9,28,14,42,155,179,567,0.98,3.9,6,15:59:00,53.8,
3G,Endurance,Shannon,7:30 AM,1/1/2020,Wednesday,2,2,19,21,14,35,155,179,572,1,3.9,5.4,15:51:00,177.5,
3G,Power,Shania,6:45 PM,1/3/2020,Friday,4,3,18,22,9,31,149,176,521,0.91,42,5,14:39:00,48.2,
2G,ESP,Shania,6:45 PM,1/8/2020,Wednesday,4,5,14,16,19,35,155,180,554,1.41,3.4,4.8,18:12:00,448.7,
2G,Endurance,Mitch,6:45 PM,1/13/2020,Monday,4,6,20,20,8,28,146,183,521,1.49,3.6,6,17:02:00,327.1,
3G,Endurance,Shania,5:30 PM,1/17/2020,Friday,2,6,23,21,6,27,148,180,537,1.09,3.7,4.3,13:40:00,227.5,1 MILEBENCHMARK
2G,Strength,Mitch,6:45 PM,1/22/2020,Wednesday,1,4,26,19,7,26,149,174,531,1,3.3,3.9,18:26:00,211.5,
3G,ESP,Shania,5:30 PM,1/24/2019,Friday,4,1,5,25,20,45,155,184,566,0.86,3.4,5.9,18:10:00,242.9,
2G,Power,Mitch,6:45 PM,1/27/2020,Monday,4,14,27,12,2,14,138,179,484,1.36,3.1,3.4,19:02:00,410.4,"Really Struggled with this one, will be inersting to see if period comes in a few days"
2G,Endurance,Mitch,6:45 PM,1/29/2019,Wednesday,3,4,24,24,3,27,146,172,527,1.43,3.4,4.6,18:06:00,340.7,
2G,Strength,Bri,6:45 PM,2/3/2019,Monday,2,3,17,23,10,33,155,181,539,1.27,3.2,4,18:50:00,419.7,
3G,ESP,Shania,5:30 PM,2/5/2019,Wednesday,1,5,17,19,27,34,155,179,556,0.89,3,4,17:25:00,277.3,
3G,Endurance,Shania,5:30 PM,2/14/2019,Friday,2,0,12,21,19,40,160,184,575,0.93,4.6,6,13:29:00,49.2,12 Minute Run Prep
3G,ESP,Shania,5:30 PM,2/21/2019,Friday,3,2,28,20,2,22,146,175,499,0.94,3.8,5.5,16:52:00,121.9,
2G,Power,Mitch,6:45 PM,2/24/2019,Monday,5,11,27,11,2,13,137,173,555,1.65,3.9,6,16:29:00,107.6,
2G,Power,Shania,5:30 PM,2/28/2020,Friday,3,4,17,27,6,33,148,175,536,1.48,3.5,6.2,17:42:00,369,
2G,Strength,Shannon,5:30 PM,3/2/2020,Monday,1,5,25,22,6,28,149,179,546,1.04,4,5,15:38:00,86.6,
2G,Strength,Shania,5:30 PM,3/6/2020,Friday,1,3,19,19,12,31,155,183,537,1.84,4.1,6,14:50:00,204,
3G,Strength,Bri,8:27 AM,9/6/2020,Sunday,2,8,26,17,3,20,143,176,486,0.75,3.2,3.5,18:57:00,261.1,First Class Post COVID 19
3G,Endurance,Melanie,5:30 PM,9/9/2020,Wednesday,4,12,22,19,1,20,140,173,486,0.84,3.5,5.6,0:00:00,273.4,
3G,Power,Shania,5:30 PM,9/11/2020,Friday,2,1,11,35,8,43,155,183,584,0.91,3.8,5.6,17:05:00,79.9,
3G,Strength,Melanie,5:30 PM,9/14/2020,Monday,4,5,38,10,0,10,140,171,484,0.84,3.4,4.5,18:02:00,196.1,
3G,ESP,Shania,5:30 PM,9/16/2020,Wednesday,4,3,13,25,12,37,155,187,561,1.24,4.1,6,15:48:00,67.4,
3G,Strength,Shania,5:30 PM,9/18/2020,Friday,5,5,28,16,4,20,142,175,499,1.03,3.5,5.5,17:40:00,287.3,
3G,Power,Shania,5:30 PM,9/23/2020,Wednesday,5,4,24,22,4,26,145,178,522,1.3,4.2,6,15:06:00,79.7,
3G,Endurance,Shania,5:30 PM,9/25/2020,Friday,4,5,29,11,8,19,144,183,503,0.92,4,4.5,14:54:00,242,Catch me if you Can .93
3G,Strength,Shania,5:30 PM,9/30/2020,Wednesday,3,8,31,13,3,16,142,183,497,1.03,4,6,,66.6,500 m Bechmark Row
3G,ESP,Katie,5:30 PM,1/15/2021,Friday,3,7,20,23,7,30,148,174,554,0.85,3.2,4,,201.4,
3G,Power,Katie,6:45 PM,1/22/2021,Friday,2,3,13,27,12,39,155,184,573,1.04,3.3,5.3,19:33:00,157.7,
3G,Strength,Katie,6:45 PM,1/29/2021,Friday,2,9,27,15,4,19,143,174,510,1.06,3.2,5,20:21:00,251,
3G,Endurance,Katie,6:45 PM,2/5/2021,Friday,6,5,8,22,9,41,154,193,596,0.95,4.8,5,12:39:00,50.3,
3G,ESP,Paul,6:45 PM,2/8/2021,Monday,4,4,30,19,1,20,144,171,513,0.76,3.1,5,19:50:00,235.4,
3G,Power,Katie,6:45 PM,2/19/2021,Friday,7,2,15,21,12,33,149,186,537,1.12,3.2,6.5,1:24:00,73.1,
3G,Strength,Paul,6:45 PM,2/22/2021,Monday,5,7,35,8,1,9,137,171,457,0.74,3.1,4,20:17:00,225.5,
3G,Strength,Paul,6:45 PM,2/26/2021,Friday,1,5,16,20,14,34,153,180,554,1.18,3.6,5.5,16:31:00,198.4,
3G,Endurance,Paul,6:45 PM,3/1/2021,Monday,4,2,22,28,2,30,147,181,533,0.9,3.5,5.5,17:17:00,166.4,
3G,Endurance,Katie,6:45 PM,3/5/2021,Friday,7,7,23,20,2,22,142,174,503,1.18,3.5,5,17:03:00,208.7,
3G,ESP,Paul,6:45 PM,3/8/2021,Monday,4,4,15,22,11,33,152,193,547,1.21,4.6,5.7,13:00:00,102.4,
3G,ESP,Katie,6:45 PM,3/12/2021,Friday,5,7,29,16,1,17,139,175,487,1.08,3.6,6.6,16:40:00,208.5,
3G,Power,Paul,6:45 PM,3/15/2021,Monday,3,8,20,23,4,27,145,182,517,1.22,4.1,6.5,14:38:00,64.3,
3G,Power,Katie,6:45 PM,3/19/2021,Friday,6,6,23,19,4,23,142,183,503,1.01,3.7,6.3,16:02:00,160.9,
